BASE	ance	ancy
CONSTANC(E/Y)	1974	594
RELEVANC(E/Y)	8094	589
IRRELEVANC(E/Y)	624	171
DEVIANC(E/Y)	323	112
BRILLIANC(E/Y)	3203	86
COMPLIANC(E/Y)	12987	9
CONTINUANC(E/Y)	805	6
SIGNIFICANC(E/Y)	21828	6
ARROGANC(E/Y)	5049	5
FRAGRANC(E/Y)	3055	3
RELUCTANC(E/Y)	4560	3
RESONANC(E/Y)	3919	3
EXTRAVAGANC(E/Y)	458	2
PREDOMINANC(E/Y)	417	2
RADIANC(E/Y)	1075	2
IGNORANC(E/Y)	13310	1
RESISTANC(E/Y)	32578	1
